distance,traffic,weather,stock,delay,eta
463,Low,Clear,Yes,0,7.716666666666667
1782,Low,Rain,Yes,0,31.2
1695,Low,Rain,Yes,0,29.75
1776,Low,Rain,No,1,32.6
884,Medium,Clear,Yes,0,15.233333333333333
1291,Low,Clear,No,1,23.516666666666666
1966,High,Clear,Yes,0,34.266666666666666
104,Medium,Clear,Yes,0,2.2333333333333334
1989,Low,Rain,No,1,36.15
299,Low,Rain,No,1,7.483333333333333
205,High,Clear,Yes,0,4.416666666666666
1407,High,Rain,Yes,1,25.95
647,Low,Clear,No,0,12.283333333333333
1648,High,Rain,Yes,1,29.966666666666665
1171,Low,Clear,No,1,21.516666666666666
1304,High,Clear,Yes,0,23.233333333333334
704,High,Rain,Yes,1,13.733333333333333
65,High,Rain,No,1,4.583333333333333
310,Medium,Rain,No,1,8.166666666666668
1597,Medium,Clear,No,1,29.116666666666667
1726,High,Clear,Yes,0,30.266666666666666
1774,Low,Rain,No,1,32.56666666666666
613,Medium,Rain,No,1,13.216666666666667
574,Low,Clear,No,0,11.066666666666666
1025,High,Rain,Yes,1,19.583333333333332
162,Medium,Clear,No,1,4.7
442,High,Clear,Yes,0,8.366666666666667
131,Low,Clear,Yes,0,2.183333333333333
1226,Medium,Rain,No,1,23.933333333333334
82,Low,Rain,No,1,3.8666666666666667
983,Medium,Clear,Yes,0,16.883333333333333
879,High,Rain,No,1,18.15
1402,Medium,Clear,Yes,0,24.366666666666667
1605,Medium,Rain,No,1,30.25
429,Low,Clear,Yes,0,7.15
1318,High,Rain,No,1,25.966666666666665
1462,Low,Clear,No,1,26.366666666666667
1099,High,Clear,No,1,21.316666666666666
282,Medium,Rain,No,1,7.7
1026,Medium,Rain,Yes,1,19.1
1162,Low,Rain,No,1,22.366666666666667
1585,High,Clear,No,1,29.416666666666668
1556,High,Rain,No,1,29.933333333333334
1219,Low,Rain,No,1,23.316666666666666
53,Low,Rain,Yes,0,1.8833333333333333
1026,Medium,Clear,Yes,0,18.1
1988,Medium,Rain,No,1,36.63333333333333
737,High,Clear,No,1,14.783333333333333
1637,Medium,Clear,No,1,29.783333333333335
220,High,Rain,Yes,1,5.666666666666666
630,Low,Clear,Yes,0,10.5
1782,Low,Clear,No,1,31.7
1432,Low,Rain,Yes,0,25.366666666666667
